ID_CLIENTE,CANAL,PRECIO_ASIGNADO,ZONA,CLAS_VENTA,TIPO_FACT
291,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
292,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
293,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
294,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
295,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
296,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
297,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
298,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
299,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
300,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
301,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
302,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
303,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
304,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
305,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
306,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
307,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
308,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
309,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
310,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
311,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
312,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
313,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
314,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
315,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
316,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
317,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
318,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
319,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
320,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
321,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
322,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
323,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
324,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
325,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
326,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
327,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
328,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
329,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
330,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
331,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
332,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
333,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
334,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
335,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
336,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
337,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
338,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
339,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
340,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
341,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
342,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
343,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
344,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
345,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
346,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
347,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
348,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
349,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
350,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
351,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
352,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
353,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
354,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
355,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
356,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
357,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
358,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
359,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
360,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
361,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
362,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
363,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
364,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
365,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
366,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
367,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
368,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
369,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
370,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
371,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
372,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
